,Latitude,Longitude
0,-2.6969525429790098,103.14801813682813
1,-3.4089405125999552,105.45971584864856
2,-3.8872873804760593,105.79368020938551
3,-3.381846397958189,105.11796136083045
4,-3.224665439365,104.32133070293807
5,-3.0469458912729963,104.4816507028428
6,-1.8906525193977097,104.02220423729261
7,-3.381846397958189,105.11796136083045
8,-3.4089405125999552,105.45971584864856
9,-3.0258147103747626,104.33058690207565
10,-3.224665439365,104.32133070293807
11,-3.4089405125999552,105.45971584864856
12,-3.381846397958189,105.11796136083045
13,-3.0258147103747626,104.33058690207565
14,-3.381846397958189,105.11796136083045
15,-2.857101845605131,103.12826251088052
16,-3.381846397958189,105.11796136083045
17,-3.381846397958189,105.11796136083045
18,-3.381846397958189,105.11796136083045
19,-3.0507700756374287,105.45863450747147
20,-3.0258147103747626,104.33058690207565
21,-1.5523458708065243,104.21680068974243
22,-3.4089405125999552,105.45971584864856
23,-3.381846397958189,105.11796136083045
24,-1.8906525193977097,104.02220423729261
25,-3.0032329418513917,104.0038318564418
26,-2.660943666236792,105.03708473071525
27,-1.9120404341008745,104.30585154534442
28,-0.8036456128597779,103.19778238002527
29,-0.8036456128597779,103.19778238002527
30,-1.8906525193977097,104.02220423729261
31,-1.9120404341008745,104.30585154534442
32,-2.857101845605131,103.12826251088052
33,-2.857101845605131,103.12826251088052
34,-2.857101845605131,103.12826251088052
35,-3.0032329418513917,104.0038318564418
36,-3.4089405125999552,105.45971584864856
37,-2.857101845605131,103.12826251088052
38,-3.0258147103747626,104.33058690207565
39,-3.0258147103747626,104.33058690207565
40,-1.5523458708065243,104.21680068974243
41,-3.0258147103747626,104.33058690207565
42,-3.0636686118830094,105.10638199557705
43,-2.580818933464381,105.36141631193556
44,-1.9120404341008745,104.30585154534442
45,-1.9120404341008745,104.30585154534442
46,-3.0636686118830094,105.10638199557705
47,-1.8906525193977097,104.02220423729261
48,-1.9120404341008745,104.30585154534442
49,-1.9120404341008745,104.30585154534442
50,-1.9120404341008745,104.30585154534442
51,-2.6969525429790098,103.14801813682813
52,-1.8906525193977097,104.02220423729261
53,-3.4089405125999552,105.45971584864856
54,-1.8906525193977097,104.02220423729261
55,-1.8906525193977097,104.02220423729261
56,-3.0258147103747626,104.33058690207565
57,-3.0636686118830094,105.10638199557705
58,-3.0032329418513917,104.0038318564418
59,-3.4089405125999552,105.45971584864856
60,-3.381846397958189,105.11796136083045
61,-2.857101845605131,103.12826251088052
62,-2.580818933464381,105.36141631193556
63,-3.0258147103747626,104.33058690207565
64,-2.6969525429790098,103.14801813682813
65,-1.8906525193977097,104.02220423729261
66,-1.9120404341008745,104.30585154534442
67,-1.9120404341008745,104.30585154534442
68,-1.8906525193977097,104.02220423729261
69,-1.9120404341008745,104.30585154534442
70,-1.5523458708065243,104.21680068974243
71,-1.9120404341008745,104.30585154534442
72,-1.9120404341008745,104.30585154534442
73,-1.9120404341008745,104.30585154534442
74,-1.8906525193977097,104.02220423729261
75,-1.9120404341008745,104.30585154534442
76,-1.8906525193977097,104.02220423729261
77,-1.8906525193977097,104.02220423729261
78,-2.6969525429790098,103.14801813682813
79,-1.8906525193977097,104.02220423729261
80,-1.8906525193977097,104.02220423729261
81,-3.4168243232689566,103.66441675541132
82,-3.4089405125999552,105.45971584864856
83,-3.381846397958189,105.11796136083045
84,-3.4089405125999552,105.45971584864856
85,-3.224665439365,104.32133070293807
