,Latitude,Longitude
43922,-2.489068747,103.4312363
43923,-3.67743516,105.7659988
43924,-4.081627846,105.7306595
43925,-3.416545868,105.0715714
43926,-3.273902655,104.2048492
43927,-3.338007689,103.6957321
43928,-1.926315546,103.855278
43929,-3.450793982,105.2993011
43930,-3.36171031,105.3183746
43931,-3.059137821,104.4283447
43932,-3.314074755,104.5461502
43933,-3.496348858,105.3323288
43934,-3.314685822,105.2983246
43935,-3.136179209,104.3507996
43936,-3.279117823,105.1394577
43937,-2.78638196,103.3269806
43938,-3.290021181,105.1378708
43939,-3.292106152,105.1514282
43940,-3.387198687,105.2277374
43941,-3.11727953,105.3331299
43942,-3.146025896,104.3583755
43943,-1.4640311,104.0988693
43944,-3.426356077,105.4828796
43945,-3.428016901,104.7409287
43946,-1.815938473,104.0440903
43947,-2.975081444,103.9804916
43948,-2.721543074,105.0883484
43949,-2.032182932,104.273468
43950,0.880666435,103.5165863
43951,0.913875341,103.4444885
43952,-1.814648867,104.0532608
43953,-2.033468485,104.3291931
43954,-2.784636498,103.3075104
43955,-3.015883923,103.3121567
43956,-2.7926507,103.3187408
43957,-2.976405859,103.9711227
43958,-3.297214746,105.4154968
43959,-2.915314198,103.3728943
43960,-2.758340359,104.4077301
43961,-3.028503418,104.1089554
43962,-1.451267838,104.411705
43963,-3.111354351,104.4718704
43964,-3.112063408,105.2211227
43965,-2.405908585,105.3632507
43966,-2.010233402,104.063942
43967,-2.010685682,104.2635727
43968,-3.081799746,105.14254
43969,-1.834125996,103.9840622
43970,-2.045375586,104.3000259
43971,-2.034758329,104.320137
43972,-2.232390642,104.621727
43973,-2.642759085,103.0092621
43974,-1.920768619,103.9522324
43975,-3.299913406,105.43367
43976,-2.00711894,104.0430298
43977,-1.914957523,103.845993
43978,-3.030014277,104.1190643
43979,-3.101593494,105.2132339
43980,-2.995689154,104.0202637
43981,-3.674184799,105.789505
43982,-3.277336359,105.1566315
43983,-2.789326668,103.3257904
43984,-2.628753424,105.3304443
43985,-3.000674248,104.5343552
43986,-2.734279633,103.3051682
43987,-1.83408308,103.9810486
43988,-2.048388481,104.320282
43989,-2.012211561,104.2737198
43990,-1.945497632,103.9746094
43991,-1.799352765,104.292717
43992,-1.70630753,104.4296646
43993,-2.041875839,104.3417969
43994,-1.798072577,104.3017731
43995,-1.76806879,104.2542038
43996,-1.821103454,104.0073547
43997,-1.777103424,104.2555008
43998,-1.918908954,103.8421326
43999,-1.810985088,104.0183487
44000,-2.667608738,102.9711914
44001,-1.819393396,104.0184937
44002,-1.920925856,103.9540176
44003,-0.454969674,102.6029663
44004,-3.433200359,105.4843445
44005,-3.418553114,105.0721359
44006,-3.691019297,105.6768112
44007,-3.274744272,104.1995773
44008,-3.885913372,105.7960129
44009,-3.746830225,105.2200623
44010,-3.692290306,105.6678772
44011,-3.89233017,105.8152084
44012,-4.330499649,104.1497803
44013,-4.344900131,104.1808243
44014,-3.923073769,105.7922668
44015,-3.292984009,104.2682724
44016,-3.68332386,105.6665802
44017,-3.750577211,105.1292725
44018,-3.91792798,105.7641296
44019,-3.435393333,105.481575
44020,-3.349873066,105.3334808
44021,-3.421618938,105.0761261
44022,-2.909334898,103.3813629
44023,-3.351214886,105.3426056
44024,-1.44960475,104.1398163
44025,-3.426617622,104.7314682
44026,-3.421907663,104.9528275
44027,-3.42829442,104.9328537
44028,-3.420237541,105.0668716
44029,-3.424238443,105.4830475
44030,-3.337081671,105.1275406
44031,-3.429057837,104.7375565
44032,-3.305463791,105.4144974
44033,-0.653124869,102.9774933
44034,-0.523606658,102.530014
44035,-0.860385656,102.9236679
44036,-0.447112083,102.608345
44037,-0.870956004,102.922142
44038,0.132035226,102.7434921
44039,-3.967455864,105.2170715
44040,-2.788807392,103.2778625
44041,-2.905921698,103.3715668
44042,-2.855096102,103.0826645
44043,-2.791256905,103.3286133
44044,-2.801668167,103.3903351
44045,-3.363051653,104.9290619
44046,-2.731612206,103.3042526
44047,-4.984531879,104.8601608
44048,-2.973559856,105.1602402
44049,-3.144188881,104.3475266
44050,-3.347019672,104.9279022
44051,-3.364995003,104.9304886
44052,-3.359074354,105.2947617
44053,-4.146221161,104.4165649
44054,-3.361691237,105.3406677
44055,-3.307922602,105.3329086
44056,-3.314263105,105.2882919
44057,-4.449743748,105.1194611
44058,-3.304033279,105.2959213
44059,-4.346585274,104.9486923
44060,-2.783245564,103.3173981
44061,0.411162764,102.9591217
44062,-1.674207687,104.4617691
44063,-3.490290165,105.018486
44064,-3.415276766,105.4817581
44065,-3.427908897,104.9395447
44066,-4.228830814,104.8052139
44067,-3.444495678,104.6936264
44068,-3.098804951,104.4715652
44069,-3.185447931,105.4180985
44070,-2.999927521,104.0031433
44071,-2.981165886,105.1066895
44072,-2.974827528,105.1513138
44073,-2.76305604,103.324585
44074,-3.030895948,105.2106934
44075,-2.979987383,105.1793747
44076,-3.091118336,105.2053452
44077,-3.308191776,105.3021774
44078,-2.019224644,104.038475
44079,-1.831490994,103.9994583
44080,-1.78512764,104.2629318
44081,-3.384618282,105.2437897
44082,-3.416546345,105.4728317
44083,-3.684222698,105.3386917
44084,-2.08199501,105.8811417
44085,-3.778028965,105.4914093
44086,-3.888495684,105.8420715
44087,-3.777741194,105.7134857
44088,-4.339710712,104.1510925
44089,-3.352729559,105.3393707
44090,-3.173935175,104.6547775
44091,-3.265618086,104.1982727
44092,-3.009093046,104.0044479
44093,-2.976250887,105.1256409
44094,-3.406386852,105.54422
44095,0.103762962,103.5906067
44096,-3.384471655,105.1161194
44097,-3.383200884,105.125061
44098,-3.876942158,105.7947083
44099,-3.667030573,104.5522995
44100,-3.75184989,105.1203079
44101,-3.370652914,105.3419647
44102,-2.494004011,103.3967667
44103,-2.892037869,106.4367905
44104,-3.03502655,104.1270752
44105,-2.811191082,102.9094086
44106,-1.801914692,104.2745972
44107,-1.78649056,104.3185577
44108,-1.835379958,103.9718323
44109,-1.928050876,103.8434372
44110,-2.232021332,104.614975
44111,-1.813359737,104.0624237
44112,-1.785213113,104.3276062
44113,-1.77580905,104.2645645
44114,-1.69865036,104.4836273
44115,-1.71791923,104.4772263
44116,-3.364431858,104.9384079
44117,-3.384346724,105.3133926
44118,-3.329650879,105.3087235
44119,-3.376613855,105.3040237
44120,-3.348531008,105.3243561
44121,-3.346096992,104.9410629
44122,-1.429687619,104.4320831
44123,-1.830196142,104.0086517
44124,-1.789046407,104.3004608
44125,-1.794161916,104.2642288
44126,-2.386869431,104.3022003
44127,-2.759636164,104.3986282
44128,-2.791615963,103.6425247
44129,-2.781856298,103.3272705
44130,-2.811752558,103.0454559
44131,-1.431933045,104.3538284
44132,-2.805876493,102.876976
44133,0.419743061,102.9656906
44134,-2.006341934,104.260498
44135,-3.050910234,104.4181671
44136,-1.430236578,104.3697891
44137,-1.420158505,104.4334564
44138,-1.560756326,104.0741196
44139,-1.55105114,104.0754929
44140,-1.552615643,104.0860138
44141,-3.375730276,105.3062668
44142,-3.355267763,105.3215256
44143,-2.042499304,104.3304901
44144,-2.007538319,104.0555801
44145,-2.023140669,104.2721634
44146,-3.298564434,105.4245834
44147,-0.445146084,102.5948334
44148,-3.418791056,104.7422714
44149,-2.994069576,104.0097046
44150,-2.87386632,104.6579514
44151,-2.998436451,103.978035
44152,-2.886336088,103.2258835
44153,-3.02828002,104.1098709
44154,-2.758445263,104.3978195
44155,-2.728554487,103.3020248
44156,-3.043797493,104.4262314
44157,-3.009903193,104.0118332
44158,-2.812453985,105.2162094
44159,-2.41303587,105.3627167
44160,-2.555151701,105.4141769
44161,-2.038461447,104.3386688
44162,-2.795021772,103.3112106
44163,-2.981646538,105.0955811
44164,-3.038563967,104.1186295
44165,-2.478650808,103.4335632
44166,-3.295224428,105.1310043
44167,-1.428190708,104.4219666
44168,-1.45680058,104.4179077
44169,-1.448748827,104.4293671
44170,-3.54607296,105.6463699
44171,-3.313674688,105.3159714
44172,-3.313838005,105.4175491
44173,-2.789947271,103.3465576
44174,-3.288010597,105.419014
44175,-3.055034876,104.45755
44176,-2.966209888,105.1929855
44177,-3.390207052,104.8772507
44178,-2.483302355,103.3991623
44179,-1.544487476,104.097908
44180,-1.780961514,104.0513077
44181,-1.570459604,104.072731
44182,-1.454934001,104.1263504
44183,-1.662980437,104.0847626
44184,-1.442490816,104.3635406
44185,-1.358284235,104.1075821
44186,-1.447265863,104.4192734
44187,-1.454597116,104.1070023
44188,-1.399586797,104.4260712
44189,0.802122533,102.7578812
44190,-1.79507196,104.2817841
44191,-1.787009001,104.2933426
44192,-2.406224251,103.4354782
44193,-2.38715291,104.3182449
44194,-3.368033648,104.929657
44195,-2.777627468,103.3218002
44196,-2.791029453,103.3369904
44197,-3.139892817,104.3619995
44198,-2.992604733,103.9997864
44199,-2.792729139,103.3481674
44200,-3.318619251,105.3100128
44201,-2.779273272,103.3330231
44202,-3.129018545,104.3535309
44203,-3.41912961,104.9341812
44204,-3.685773134,105.676033
44205,-3.74280858,105.1329956
44206,-3.943439484,105.8005753
44207,-3.890840054,105.817276
44208,-3.687104225,105.6850204
44209,-2.802704334,103.3467102
44210,-2.40917635,103.4295578
44211,-3.353998661,105.330452
44212,-1.790324211,104.2914124
44213,-1.769877672,104.2436295
44214,-1.772913694,104.2641144
44215,-1.664084792,104.4726639
44216,-1.790015578,104.3137054
44217,-1.781969309,104.3252335
44218,-3.278557539,105.1491776
44219,-3.103863239,105.2121124
44220,-3.397423744,105.542923
44221,-1.771396518,104.2538757
44222,-1.788511157,104.3035126
44223,-2.032366991,104.3431702
44224,-3.138416529,104.3521729
44225,-3.005255222,104.0188599
44226,-3.031523705,104.1291656
44227,-3.381811142,105.3312378
44228,-3.373191357,105.3241196
44229,-3.385888577,105.2348633
44230,-2.973298073,105.1622009
44231,-3.347574472,105.3113098
44232,-2.886718988,106.5006943
44233,-1.861164927,105.3952408
44234,-2.894779444,106.4166031
44235,-1.279700875,102.5691452
44236,-1.388531923,104.4172974
44237,-1.732509494,104.0582733
44238,-1.555738211,104.1070099
44239,-1.559196949,104.0635834
44240,-1.5786134,104.0607986
44241,-1.431735396,104.3799591
44242,-1.311758041,104.3577576
44243,-1.621884346,104.0538025
44244,-1.28686893,102.5689468
44245,-3.476358414,105.246666
44246,-3.06526947,105.1335297
44247,-2.042479753,104.3100967
44248,-4.397449017,105.5633392
44249,-1.733115792,104.0446014
44250,-1.781113625,104.0327835
44251,-1.455534339,104.0689697
44252,-1.467404485,104.1265564
44253,-1.439797044,104.3684158
44254,-1.42410028,104.0359192
44255,-1.457722306,104.1279602
44256,-1.708821893,104.3049622
44257,-1.579178572,104.0373688
44258,-1.658915639,104.1142654
44259,-2.092404366,105.9046402
44260,-2.073461294,105.8730392
44261,-2.088067055,105.8376541
44262,-1.954022884,106.051445
44263,-2.883687735,106.4975433
44264,-1.655524373,104.074234
44265,-2.079511642,105.8806915
44266,-1.64230752,104.3463287
44267,-1.704979301,104.3331223
44268,-1.437726378,104.4206009
44269,-1.439216971,104.4307175
44270,-1.451459169,104.0859604
44271,-1.453030229,104.0964966
44272,-1.428732514,104.359581
44273,-1.418655396,104.4233246
44274,-3.430830479,105.4705276
44275,-1.453606725,104.3936005
