,Geohash,Latitude,Longitude,Tanggal
0,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
1,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
2,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
3,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
4,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
5,qrc6e50zw5,-0.9490111470222472,103.14094126224518,2019-10-14
6,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
7,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
8,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
9,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
10,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
11,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
12,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
13,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
14,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
15,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
16,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
17,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
18,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
19,qr6q1vsm8y,-3.132871091365814,104.4968408346176,2019-10-14
20,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
21,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
22,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
23,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
24,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
25,qrc6e50zw5,-0.9490111470222472,103.14094126224518,2019-10-14
26,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
27,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
28,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
29,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
30,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
31,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
32,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
33,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
34,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
35,qrc6e50zw5,-0.9490111470222472,103.14094126224518,2019-10-14
36,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
37,w0qdfzgkkc,1.9329580664634705,99.26614701747894,2019-10-14
38,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
39,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
40,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
41,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
42,qr7xc6rd1n,-2.843707501888275,106.23715460300446,2019-10-14
43,qr9jy1sszf,-1.7926892638206482,102.9264396429062,2019-10-14
44,qrb7s3x5jz,-0.7822206616401672,101.79819524288176,2019-10-14
