,Geohash,Latitude,Longitude,Tanggal
0,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
1,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
2,qrdnbctevs,-1.6170689463615415,104.10325348377228,2019-10-14
3,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
4,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
5,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
6,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
7,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
8,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
9,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
10,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
11,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
12,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
13,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
14,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
15,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
16,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
17,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
18,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
19,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
20,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
21,qrdpxyzdew,-1.4565977454185486,104.41353142261504,2019-10-14
22,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
23,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
24,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
25,qr4yu24p1v,-4.437245428562164,105.3067821264267,2019-10-14
26,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
27,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
28,qr64m0mp4j,-3.8206377625465393,104.28918421268465,2019-10-14
29,qr64m0mp4j,-3.8206377625465393,104.28918421268465,2019-10-14
30,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
31,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
32,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
33,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
34,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
35,qr4yu24p1v,-4.437245428562164,105.3067821264267,2019-10-14
36,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
37,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
38,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
39,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
40,qrdpxyzdew,-1.4565977454185486,104.41353142261504,2019-10-14
41,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
42,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
43,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
44,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
45,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
46,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
47,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
48,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
49,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
50,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
51,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
52,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
53,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
54,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
55,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
56,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
57,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
58,qr4yu24p1v,-4.437245428562164,105.3067821264267,2019-10-14
59,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
60,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
61,qr6fb6zmn0,-3.719384372234345,105.13839304447174,2019-10-14
62,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
63,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
64,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
65,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
66,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
67,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
68,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
69,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
70,qrdpxyzdew,-1.4565977454185486,104.41353142261504,2019-10-14
71,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
72,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
73,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
74,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
75,qr9vj8tuy1,-1.930023729801178,103.9607959985733,2019-10-14
76,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
77,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
78,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
79,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
80,qrdntce9zr,-1.6613414883613586,104.32030856609344,2019-10-14
81,qr6g7wgns7,-3.6092475056648254,105.27530372142792,2019-10-14
82,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
83,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
84,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
85,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
86,qrdnbctevs,-1.6170689463615415,104.10325348377228,2019-10-14
87,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
88,qr6vdkfusq,-3.2250532507896423,105.220028758049,2019-10-14
89,qrdnbctevs,-1.6170689463615415,104.10325348377228,2019-10-14
