,Tanggal,Latitude,Longitude,WD10M,WD2M,T2M
3833,2019-09-13,-2.702435255,103.2871628,146.69,146.81,25.9
3834,2019-09-13,-2.740612745,102.9935074,146.69,146.81,25.9
3835,2019-09-13,-2.622716188,103.0439911,146.69,146.81,25.9
3836,2019-09-13,-2.961410761,103.9776688,128.5,128.44,26.19
3837,2019-09-13,-2.738672972,102.9800339,146.69,146.81,25.9
3838,2019-09-13,-2.672385216,102.9273682,146.69,146.81,25.9
3839,2019-09-13,-2.991990566,104.0229263,128.5,128.44,26.19
3840,2019-09-13,-2.730936527,103.3267365,146.69,146.81,25.9
3841,2019-09-13,-1.779008389,104.2896729,140.75,141.25,26.25
3842,2019-09-13,-1.821246147,104.0671082,140.75,141.25,26.25
3843,2019-05-07,-2.913362741,105.6748962,160.44,160.81,27.19
3844,2019-05-07,-2.116065979,103.8766327,149.88,150.88,27.51
3845,2019-05-07,-3.04155612,105.3040085,153.75,153.62,26.83
3846,2019-05-08,-2.863502979,103.234787,177.81,176.94,27.51
3847,2019-03-14,-2.58522,104.174339,108.75,108.88,26.98
3848,2019-01-02,-3.84438324,104.2125549,308.31,308.56,26.03
3849,2019-01-04,-2.977575302,105.5104294,188.31,189.94,27.65
3850,2017-12-21,-3.712281942,103.1329651,302.06,308.81,25.08
3851,2019-01-04,-3.957187414,103.4902725,259.94,262.06,25.23
3852,2018-01-08,-3.079333544,105.311676,234.88,234.75,26.19
3853,2018-02-27,-3.786392212,103.5373764,194.88,195.0,24.23
3854,2016-11-11,-3.004439592,104.8275833,254.19,253.81,26.38
