,Geohash,Latitude,Longitude,Tanggal
0,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
1,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
2,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
3,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
4,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
5,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
6,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
7,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
8,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
9,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
10,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
11,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
12,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
13,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
14,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
15,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
16,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
17,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
18,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
19,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
20,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
21,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
22,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
23,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
24,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
25,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
26,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
27,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
28,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
29,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
30,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
31,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
32,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
33,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
34,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
35,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
36,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
37,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
38,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
39,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
40,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
41,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
42,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
43,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
44,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
45,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
46,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
47,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
48,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
49,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
50,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
51,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
52,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
53,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
54,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
55,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
56,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
57,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
58,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
59,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
60,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
61,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
62,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
63,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
64,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
65,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
66,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
67,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
68,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
69,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
70,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
71,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
72,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
73,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
74,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
75,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
76,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
77,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
78,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
79,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
80,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
81,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
82,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
83,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
84,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
85,w0tczpwues,3.162112534046173,98.40297996997832,2019-10-14
86,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
87,w2tjd5y2bj,3.8000544905662537,108.37772905826569,2019-10-14
88,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
89,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
90,qrdpzy4esf,-1.4166221022605896,104.40671861171722,2019-10-14
